traffic_intensity,speed_efficiency,peak_traffic,weather_impact,event_impact,brt_pressure,hour_sin,hour_cos,zone,road_type,is_peak,is_weekend,congestion_level
5.898944912039617,0.16337168797039392,0.0,0,2,0.6781827116822258,0.0,1.0,0,1,0,0,0
6.440687328168145,0.14851167909326424,0.0,0,2,0.6005287262821066,0.25881904510252074,0.9659258262890683,2,2,0,0,0
4.321295866174748,0.22254278199669128,0.0,0,2,0.5235452513900014,0.49999999999999994,0.8660254037844387,2,1,0,0,0
8.330917449993459,0.1166417087466924,0.0,0,1,0.19346486128776738,0.7071067811865475,0.7071067811865476,1,0,0,0,0
2.3991689633817366,0.4034112084033599,0.0,0,2,0.8787371635447159,0.8660254037844386,0.5000000000000001,0,1,0,0,0
8.391537069784828,0.11498712396002148,0.0,0,2,0.3011589512593225,0.9659258262890683,0.25881904510252074,0,1,0,0,0
2.8134164411704576,0.3464911533336127,0.0,0,2,0.44798941793339253,1.0,6.123233995736766e-17,0,1,0,0,0
10.970601248166323,0.08478245848247486,170.28887867367737,2,2,0.750994424519127,0.9659258262890683,-0.25881904510252063,2,1,1,0,2
10.334986115417365,0.092740338259747,271.93560466356314,2,2,0.8590689094219824,0.8660254037844387,-0.4999999999999998,1,0,1,0,0
8.592899358226493,0.11311064081905353,340.9727663380837,0,2,0.3814592461538193,0.7071067811865476,-0.7071067811865475,2,2,1,0,0
5.469685984511358,0.1770399217078146,0.0,1,2,0.36461401861950665,0.49999999999999994,-0.8660254037844387,0,1,0,0,0
3.3821784082512223,0.2862773507635482,0.0,0,2,0.6822833396105314,0.258819045102521,-0.9659258262890682,2,0,0,0,0
5.164105923280803,0.18729182718825998,0.0,0,2,0.4831542820303804,1.2246467991473532e-16,-1.0,2,1,0,0,0
8.364905312119431,0.11566806596261933,0.0,1,0,0.2586389596531156,-0.2588190451025208,-0.9659258262890683,0,1,0,0,0
5.18241263559431,0.18685175333691093,0.0,0,2,0.6295231459706158,-0.4999999999999997,-0.8660254037844388,0,1,0,0,0
3.2673508761178036,0.2962803608657666,0.0,1,2,0.6086103281882972,-0.7071067811865471,-0.7071067811865479,0,1,0,0,0
5.84365135594681,0.16627795083529387,0.0,0,2,0.4545028416099861,-0.8660254037844384,-0.5000000000000004,0,1,0,0,0
9.119154275101613,0.10609914009969809,310.68876282643,0,1,0.600951650290353,-0.9659258262890683,-0.25881904510252063,1,0,1,0,0
5.173959465279782,0.18557086344831292,153.8760508129651,1,2,0.8575268825135403,-1.0,-1.8369701987210297e-16,1,1,1,0,0
12.699839509229216,0.07616614418685548,417.92724433349696,0,1,0.28961871935927075,-0.9659258262890684,0.2588190451025203,0,0,1,0,0
6.117761726761311,0.15997075477976327,0.0,0,2,0.27111846335268214,-0.8660254037844386,0.5000000000000001,1,0,0,0,0
6.115514023395281,0.1573278631744663,0.0,0,2,0.5462080775734145,-0.7071067811865477,0.7071067811865474,0,1,0,0,0
